Job Title,Required Skills,Role Category,Industry,Role
 Walk- In For Development QA/ Regulatory Affairs," QA, Life Sciences, development quality assurance, Life Cycle, Regulatory Affairs, DQA, QMS, Dmf",R&D,"Pharma, Biotech, Clinical Research",Research Scientist
 Manager Accounts-wazirpur-mba-finance-salary-35k(export House exp)," accounting, finance, financial reporting, statutory compliance, gst, vat",Accounts,Iron and Steel,Accounts Manager
 Team Leader- Head Digital Prtnrshp & BD," Data analysis, Consumer research, Management, Head Business Development",Retail Sales,"Construction, Engineering, Cement, Metals",Sales/Business Development Manager
 DWH Tester - Manual Testing," Testing, Quality, Manual Testing, ETL, BI, DW, Datawarehouse Testing",Programming & Design,"IT-Software, Software Services",Testing Engineer
 Quality Assurance Engineer," assembly language, Six Sigma, PMP, C, JavaScript, .NET, HTML, Oracle, Python, SQL",QA/Testing/Documentation,"IT-Software, Software Services",Quality Assurance/Quality Control Executive
 Technical / Functional Skills," Product management, Business process, Linkedin, Automation, CV, Email, GIT, Technical, SDLC, Ideas",Institutional Sales,"IT-Software, Software Services",Sales Executive/Officer
 Software Development / Software Engineer," ajax, javascript, php, erp, website, development, software development, module, mca, application development, application, web, programming",Programming & Design,"IT-Software, Software Services",Software Developer
,vide,,,
 Inbound Phone Banking Voice Process - Leading Bank - Noida," customer service, customer care, team, communication, bpo, call center, inbound, voice, backend, non voice, telecalling, cse, cro, cce, data entry, back office, voice process, domestic bpo, fresher, trainee, Telemarketing, Outbound, sales, hardware, networking",Voice,"Fresher, Trainee, Entry Level",Associate/Senior Associate -(NonTechnical)
Java Enterprise Edition,"Oracle,Core Java,Business process,Outsourcing,Operations,spring integration,J2Ee,Spring framework,JEE,Manager Technology",Programming & Design,IT-Software / Software Services,Software Developer
 Associate Clinical Data Processor," MS Office, Data entry",Voice,"Strategy, Management Consulting Firms",Associate/Senior Associate -(NonTechnical)
,"Sales,Counter,Sales,Sales,Sales,Sales,Counter,Sales,Sales,Sales,Counter,Sales,Sales,Counter,Sales,Sales,Sales,Sales,Sales,Counter,Sales,Sales,Sales,Sales,Counter,Sales,Sales,Sales,Sales,Sales,Sales,Counter,Sales,Sales,Sales,Sales,Sales,Sales,Sales,Sales,Sales,Sales,Counter,Sales",,,
 CRM," Customer relationship, Automobile, Proposal preparation, CRM strategy, Architecture, Database, Testing",Corporate Sales,"IT-Software, Software Services",Sales/Business Development Manager
 Magento Developer," Unix, Version control, Prototype, XML, MySQL, PHP, JSON, MVC, Ajax, CSS3",Programming & Design,"BPO, Call Centre, ITeS",Software Developer
 Merchandiser," Merchandising, Buyer Activities, Follow Ups, Vendor, purchase, vendor development, tracking",Production/Merchandising/Business Development,"Textiles, Garments, Accessories",Merchandiser
 SIEM Analyst,vide,Admin/Maintenance/Security/Datawarehousing,"Recruitment, Staffing",System Security
 Hiring ll Azure Devops and Management Lead ll Hyderabad," C#, Azure, Powershell, Script Writing, API, Debugging, Devops, Application Integration",Programming & Design,"IT-Software, Software Services",Team Lead/Technical Lead
 Senior Faculty - Information Design,vide,,"Education, Teaching, Training",
 computer operator," Computer Operator, MS Office, Software services, Comm, Typing speed, WHO, Software, level",,"IT-Software, Software Services",Stenographer/Data Entry Operator
 Operation Executive," operations management, mobilization, Resource Mobilization, general management, interview, Recruitment",Administration/Facility Management,"Recruitment, Staffing",Executive/ Sr Executive - Administration
 Customer Support Executive," Customer Support Executive, Customer service, Business Executive, process",Voice,"IT-Software, Software Services",Associate/Senior Associate -(NonTechnical)
 Corporate-Day Care Manager.," Staff Training, Day Care, Recruitment",Teachers,"Education, Teaching, Training",DaycareTeacher / Incharge / Attendant
 Hiring going on for .US Inbound Tech Support/ Sales," process, Spot, Technical support, Night shift, International BPO",Voice,"IT-Software, Software Services",Associate/Senior Associate -(Technical)
Deputy Manager- Performance/digital Marketing,"digital marketing,email marketing,adwords,display advertising,digital campaigns,google analytics,sem,seo",Online/Digital Marketing,Education / Teaching / Training,Social Media Marketing Manager
" Technical Lead -(VoIP,Cisco Call Manager)"," java, cisco call manager, visa, j2ee, sip, offshore, communication skills",Programming & Design,"IT-Software, Software Services",Team Lead/Technical Lead
,vide,,,
 Relationship Manager," Sales, Business Development, Change Management, Mobile, mobiles, handset, mobile handset, Marketing, Relationship Management, Distribution Management, channel management, dealer management, Retailer",Channel Sales,"Consumer Electronics, Appliances, Durables",Sales / BD Manager
" Technician, Technical Support"," International Call Center, Technical Support, Maintenance, Communication Skills, PC Hardware, Technician Activities, Social Media, Analytical Ability, Soft Skills, Customer Satisfaction",Admin/Maintenance/Security/Datawarehousing,"IT-Software, Software Services",Technical Support Engineer
 Graphic Designer," Illustrator, Corel Draw, Photoshop",Creative,"Education, Teaching, Training",Graphic Designer
 Consultant," Manual testing, Informatica, microsoft, Process automation, System testing, PDF, Artificial Intelligence, Regression testing, Silicon, Analytics",Programming & Design,"IT-Software, Software Services",Testing Engineer
 Immediate Requirement for Fusion Technical Lead Developer," Technical Architecture, Fusion, Oracle Fusion",Programming & Design,"IT-Software, Software Services",Team Lead/Technical Lead
 Layout Designer / Web Designer," Layout design, Corel Draw, Web designing, Photoshop",Programming & Design,"Recruitment, Staffing",Graphic/Web Designer
 International BPO- Mahindra- Meru- TATA SKY- Paddle Point-pepperfry-hc," Bpo Voice, Voice Process, International BPO",Voice,"BPO, Call Centre, ITeS",Associate/Senior Associate -(NonTechnical)
 Asp.net with Angular JS & Html5 - Hyderabad," HTML5, ASP",Programming & Design,"IT-Software, Software Services",Software Developer
 Sales Manager Product and Portfolio," Product training, Sales, Relationship, Banking, Recruitment",Retail Sales,"Banking, Financial Services, Broking",Sales/Business Development Manager
 Key Accounts Manager," Customer profitability, Receivable management, Education, Relationship building, Transportation, Service, Monitoring, Key accounts",Corporate Sales,"Recruitment, Staffing",Client Servicing/Key Account Manager
 Store Head-leading Manufacturing Company," Stores, warehouse, Logistics",Logistics,"Automobile, Auto Anciliary, Auto Components",Logistics Manager
 BPO Inbound Voice Tech Process - Customer Service Inbound Voice - Appl," BPO, Outbound, English, Email, Inbound calls, Customer service, Troubleshooting, Technical support, Recruitment, Comp",Voice,"IT-Software, Software Services",Associate/Senior Associate -(NonTechnical)
 Java Software Engineer," Linux, Agile, Python, Computer science, Coding, Fixed income, Machine learning, Asset management, JIRA, Financial services",Programming & Design,"Banking, Financial Services, Broking",Software Developer
 Admin Executive," English, MS Office, admin executive, Billing, Stock inventory, Writing, Office management, Management, Business Executive, Application",Administration/Facility Management,"IT-Software, Software Services",Executive/ Sr Executive - Administration
 Agm Finance for Automobile Company in Kolkata . Salary:7 Lpa," Credit Officers, Risk Management, Administration, Report Generation, Analysts, analytical skills",Senior Management,"Recruitment, Staffing",Head/VP/GM-Finance/Audit
 Accounts Manager (male)," Balance Sheet Finalisation, service tax, bank reconciliation, gst, income tax, taxation, financial auditing, finance, tax audit",Accounts,"IT-Software, Software Services",Accounts Manager
 Opening for French Specialist Accounts Payable," accounts payable, accounting, AP",Back Office/Web/Transaction Processing,"BPO, Call Centre, ITeS",Associate/Senior Associate -(NonTechnical)
 Applications Analyst OEE," Change management, Healthcare, Analyst, Business Analyst, Social media, Problem management, Software development life cycle, Scheduling, OEE",Programming & Design,"Medical, Healthcare, Hospitals",Software Developer
 Customer Service Engineer - - ICD Security Solutions," Copyright, Customer Service Representative, CV, Customer service, Security, Troubleshooting, CCTV",Corporate Sales,"IT-Software, Software Services",Client Servicing/Key Account Manager
 Urgently Required Senior PHP Developer(laravel) || Gurgaon ," CSS, jQuery, MySQL, Javascript, HTML, Web Development, Laravel, Codeigniter",Programming & Design,"IT-Software, Software Services",Software Developer
 Associate Process Consultant," Networking, Telecom, LAN, WAN, Bss, VPN, Wireless, Telecommunication, Costing, Visio",Project Management,"IT-Software, Software Services",Project Manager-IT/Software
 Infrastructure management- Lecturer," Teaching, Educator, Counselor, Mentor, Trainer, Advisor",University Level,"Education, Teaching, Training",Lecturer/Professor
 Finance Admin," Business communication, Analytical skills, Business objects, Team management, management, Transition management, Trend analysis, Variance analysis, Analytics",Finance/Audit,"IT-Software, Software Services",Financial Analyst
 Guest Relations Executive," Usage, PDF, C, Social media, Cash handling, Database, Customer service, Merchandising, Advertising",Senior Management,"NGO, Social Services, Regulators, Industry Associations",Head/VP/GM/National Manager -Sales
 Salesforce System Architect," salesforce, salesforce.com, system design, application architecture",Programming & Design,"IT-Software, Software Services",Technical Architect
,vide,,,
System Monitoring Tools & Techniques Professional,"Execution,Project Management,AO engagement,Monitoring Tools,Delivery Management,Stakeholder Management,System Monitoring",Project Management,IT-Software / Software Services,Project Manager-IT/Software
 HR Recruiter," Recruitment, Hiring, HR, Screening, Interviewing, Staffing",Other,"IT-Software, Software Services",Fresher
 Business Development Manager (eCommerce)," bca, cold calling, bidding, academic, customer service, documentation, selling, web development, seo, mba",Corporate Sales,"IT-Software, Software Services",Sales/Business Development Manager
 Java Developer - Spring/ Hibernate," Java, Webservices, Spring, Hibernate, System Design, ESB, SQL, Spring Boot, Javascript",Programming & Design,"IT-Software, Software Services",Software Developer
 Python Developer," Debugging, Troubleshooting, Python, Interpersonal skills, OOPS, Programming, developer",Programming & Design,"IT-Software, Software Services",Software Developer
 Sales And Marketing/Business Development manager," Direct sales, Cold calling, English, Networking, Business Development Manager, Customer interfacing, Data collection, Service, Digital marketing, WHO",Retail Sales,"IT-Software, Software Services",Sales/Business Development Manager
 Microsoft Developer," build automation, Entity framework, MVC, microsoft, SQL",Programming & Design,"Recruitment, Staffing",Software Developer
 Customer Service Executive (Adeeba Group) for Tech Support/ Sales," Technical support, Outbound, Troubleshooting, RecruitmentEnglish, Antivirus, Comp, Customer Service Executive, Domestic BPO",Voice,"IT-Software, Software Services",Associate/Senior Associate -(NonTechnical)
 Inbound Technical Support With Attractive Salary Package," Outbound, Medical, Technical support, Technical Support Associate, Email, Sales, US shift, Antivirus, Troubleshooting, Comp",Voice,"IT-Software, Software Services",Associate/Senior Associate -(Technical)
" Placement Officer,"," HR, Human Resource Management, Placement Coordination, recruitment executive, recruitment officer",Other,"Recruitment, Staffing",Outside Consultant
 Walk-in Interviews For Sr.executive - Procurement on 5th July," Strategic Sourcing, procurement, supply chain management, Packaging, Vendor Management",Purchase/Material Management,"Internet, Ecommerce",Purchase Executive
Urgent Opening Automation Test Engineer 2-5yrs-bellandur Bangalore,Test Engineering,Programming & Design,IT-Software / Software Services,Software Developer
 Senior TSA Inbound Tech Process," Outbound, Technical Support Associate, Sales process, process, Senior, Technical, US shift, Technical support, International BPO",Voice,"IT-Software, Software Services",Associate/Senior Associate -(Technical)
 Freelance Corporate Trainer on Taleo," Corporate Training, corporate trainer, technical trainer",Teachers,"IT-Software, Software Services",Trainer
 Senior Java Developer- Urgently Required by Mumbai IT Company," java, mongodb, Hibernate, spring, jms",Programming & Design,"IT-Software, Software Services",Software Developer
 Manager Procurement," Procurement, Supply chain management, Automation, Copyright, Chain, Purchase, Head Operations, Steel, Business Executive",Purchase/Material Management,"Advertising, PR, MR, Event Management",Purchase/Vendor Development Manager
 Senior Software Engineer - UI Development - Javascript/angularjs," software development life cycle, css, html5, ui development, design patterns, svn, software engineering, angularjs, javascript",Programming & Design,"IT-Software, Software Services",Software Developer
 Telle Caller," good communication skill, good speeking manners, ability to face strangers, punctual, gopod efficiency",Voice,"Recruitment, Staffing",Telecalling/Telemarketing Executive
 Documentation Executive," e - tendering, Tender Preparation, bid preparation, proposal preparation",,"Architecture, Interior Design",Other
 Restaurant Cashier," Cash Handling, Cashier Activities, Day Book, Cashier, Restaurant, CSAT",Front Office/Customer Care,"Travel , Hotels , Restaurants , Airlines , Railways",Cashier
" Opening For Dot Net Developer @ Baner, Pune"," C#, .Net, Asp.net",Other,"IT-Software, Software Services",Fresher
 Management Trainee," Excel, Sales, Conflict resolution, Analytical, Management Trainee, Power point presentation, MS Office",Other,Insurance,Trainee
 Junior Company Secretary," Manual testing, Eclipse, Coding, Scrum, Enterprise applications, Healthcare, JIRA, Android SDK, test driven development, Business Analyst",Programming & Design,"Medical, Healthcare, Hospitals",Testing Engineer
 Production Manager," Production Management, production control, production planning, Production Manager, Planning, Production Support, Organizing",Production/Manufacturing/Maintenance,"Internet, Ecommerce",Production Manager
 Have Confidence to Convince Customer Then Join Adeeba (Inbound Voice)," Outbound, Medical, Technical support, Technical Support Associate, Email, Technical, US shift, Antivirus, Troubleshooting, Comp",Voice,"IT-Software, Software Services",Associate/Senior Associate -(NonTechnical)
 Business Transformation Consultant," project management, management consulting, business transformation, strategy consulting, change management, sales strategy, top management",,"Strategy, Management Consulting Firms",Other
 Content Editor," Digital media, PHP, Recruitment, Bengali, LMS, Business administration, Content Editor, Journalism, Literature, Administration",Content Development,"Media, Entertainment, Internet",Content Developer
 Graphics Hardware Engineer," Graphics, Simulation, Power management, Electronics, Hardware, Research, System analysis, Electricals",Programming & Design,"IT-Software, Software Services",Software Developer
 Visual Designer," Motion Graphics, Infographics, Illustrator, animations, infographics, Corel draw, Photoshop, CorelDRAW, Visual Designer",Creative,"IT-Software, Software Services",Visualiser
 Web Designer," Illustrator, Web designing, Photoshop, CSS, Web technologies, XML, Intranet, Business Executive",Programming & Design,"IT-Software, Software Services",Graphic/Web Designer
 ACCOUNTS EXECUTIVES," Tally, Retail, Accounts Executive, Retail Executive",Accounts,"Industrial Products, Heavy Machinery",Accounts Executive/Accountant
 Finance & Accounting Associates," Financial reporting, Due diligence, Data analysis, Accounting, International finance, Banking",Accounts,"Banking, Financial Services, Broking",Accounts Manager
 DEALER - RETAIL BROKING," NSE, Lead generation, Compliance, Relationship, Equity, Client acquisition, Research, Revenue generation, Monitoring, HNI client handling",Institutional Sales,"Accounting, Finance",Sales Executive/Officer
 SENIOR SOFTWARE DEVELOPER (MVC .NET)," MySQL, Javascript, UML, server, css, Technical writing, html5, bootstrap, microsoft, Technical support, sql, cloud, ui, web, design, asp.net, mvc, api, architecture, level, Visual Studio, quality, MS SQL, infrastructure, .net, agile, angularjs, aws",Programming & Design,"IT-Software, Software Services",Software Developer
 Client Relationship Partner," MIS reporting, Trade, Operational risk, Banking, Relationship, Client relationship, Saving",Retail/Personal Banking,"Banking, Financial Services, Broking",Sales Officer
" Sales Manger Opening In An E-commerce Industry- (mumbai, Pune)"," sales strategy, sales management, B2B Sales, corporate sales, institutional sales",Institutional Sales,"Internet, Ecommerce",Sales/Business Development Manager
 Dot Net Developer," soa, sql, relationship management, server, software, jquery, service oriented architectures, quality systems, software implementation, computer science, sql server 2008, design",Programming & Design,"IT-Software, Software Services",Software Developer
 Lead Business Systems Analyst, Analyst,,"Banking, Financial Services, Broking",Other
 Sr. Manager- Art in Mumbai || Opportunity @ Client side, Art Director,Senior Management,"Internet, Ecommerce",Creative Director
 Hiring for Domestic/ International Processes.contact the HR Asap," fresher, icse, inbound process, outbound, international bpo, uk process, bcom, communication skills, back office, cbse, web chat, chat process, Aviation, Guest Relations, Public Speaking, PR",Voice,"BPO, Call Centre, ITeS",Associate/Senior Associate -(NonTechnical)
 Sr . Manager," Automobile, Warehouse, Problem management, Manager Operations",,"Recruitment, Staffing",Head/VP/GM-Operations
 Manager Learning & Development,vide,Senior Management,"Semiconductors, Electronics",Head/VP/GM-Training & Development
 Urgent Requirement for CCE Telesales for Night Shift.," Outbound, Telesales, Night shift, English, process, Technical, Inbound calls, Service, Printers, Business Executive",Voice,"IT-Software, Software Services",Associate/Senior Associate -(NonTechnical)
 Vancancy for Inbound Tech Sales Executive," Outbound, Service, Technical support, process, Inbound calls, Domestic BPO, Bonus, Business Executive, Comp",Voice,"IT-Software, Software Services",Associate/Senior Associate -(Technical)
 Infrastructure SSO Architect- Looking For Early Joiners," single sign - on, single sign on, IT Infrastructure, SSO",System Design/Implementation/ERP/CRM,"IT-Software, Software Services",Solution Architect / Enterprise Architect
 Sr. Architect / Project Position: Sr. Architect / Project," layout, coordinating, material selection, ms, mep, photoshop, corel draw, co, monitoring, plumbing",Architectural Services,"Real Estate, Property",Architect
Nosql (couchdb/redis/bigtable/dynamodb),"coding,database design,test cases,analytical,nosql,cassandra",Programming & Design,IT-Software / Software Services,Software Developer
 Immidate Opening for Voice & Accent Trainer @ Vee Technologies," accent, auditing, soft skills, training needs, customer service, process compliance",Training,"BPO, Call Centre, ITeS",Voice & Accent Trainer
 Walk- in | Hdfc Life | We are Hiring Freshers:5th till 20th Aug@ Delhi," Sales, Fresher, Marketing",Retail Sales,Insurance,Sales/Business Development Manager
 AIT Global India Private Limited is Looking For JAVA Developer.," Java EE, Hibernate, Core Java, Software Development, Spring Mvc, Multithreading, OOD, JDBC, Spring Boot, JSF",Programming & Design,"IT-Software, Software Services",Software Developer
" Cloud Engineer Cloud Based IT MNC In Gurgaon , salary 7 - 8 LPA"," Virtualization, Cloud computing, Server architecture, Windows Troubleshooting, Customer satisfaction, Manager Technology, Deployment, Management",Programming & Design,"Real Estate, Property",Technical Architect
 Relationship Manager - Bangalore," business development, sales, sales marketing, marketing executive, sales executive, sales officer, sales manager, area sales manager, territory sales manager, territory manager, area manager, regional manager, regional sales manager, regional business manager",Retail Sales,"Education, Teaching, Training",Sales Executive/Officer
 Territory Sales Manager-Passive Networking-Mumbai/Bangalore/Hyderabad," Sales, Sale, Networking Sales, It Solution Sales, Structured Cabling, Passive Networking, Data Center, Cable Tray, cabling, Data Center Rack, data - centre rack, LAN, UTP Cables",Corporate Sales,"Electricals, Switchgears",Sales/Business Development Manager
 Business Development Manager," marketing executive, distributors, customer profiling, sales strategy, market research, Business Development, sales executive",Retail Sales,"IT-Software, Software Services",Sales/Business Development Manager
 Senior Manager-fundraising," fundraising, finance",Operations/Processes/Finance/Legal,"Medical, Healthcare, Hospitals",Finance/Budgeting Manager
 Bulk Hiring Travel Sales Consultants US /UK Shifts Call ASAP," worldspan, travel sales consultants, galileo, amadeus, gds",Voice,"BPO, Call Centre, ITeS",Associate/Senior Associate -(NonTechnical)
 UI Developer (Frontend Developer)," Front end, Email, PDF, MIN, UI, phone, Strategic HR, Doc, Consultancy, Recruitment",Programming & Design,"Construction, Engineering, Cement, Metals",Software Developer
 Netsuite Technical Consultant," CVS, ERP, Rest, middle east, Technical, Customization, E-commerce, CRM, Open, WHO",System Design/Implementation/ERP/CRM,"IT-Software, Software Services",Outside Technical Consultant
"Java Full Stack – Technical Lead, Senior Engineer","Java,Angular JS,Hibernate,Core Java,Technical Leader,Technical,Javascript,Spring,JQuery,JS framework",Programming & Design,IT-Software / Software Services,Software Developer
 ADM - External Affairs &amp; CSR - Bangalore," senior management, ngo, key skills, Corporate Social Responsibility, Govt Liasioning, corporate pr, External Communications",CSR & Sustainability,"Automobile, Auto Anciliary, Auto Components",CSR Manager
 Immediate Opening Asp.net MVC Developers For Mumbai (worli)," Asp.Net MVC, entity framework, API",Programming & Design,"IT-Software, Software Services",Software Developer
 Home loan," Loans, Direct Sales Associate, Policies, Bfsi, Finance, Sanction, WHO",Retail/Personal Banking,"Recruitment, Staffing",Sales Officer
" Sr. Resident, General & Laparoscopic Surgery"," Monitoring, Senior Resident, RAM, DNB, Dmc",Medical Professional,"Medical, Healthcare, Hospitals",Surgeon
 Angular Developer - Fulcrum Digital," Angularjs, CSS, Responsive Web Design, Javascript, Bootstrap, HTML, JSON, JQuery, Web Development, Grunt",Programming & Design,"IT-Software, Software Services",Software Developer
,"networking,Network,Lead,Network,Lead,Network,Network,Lead,Network,networking,Lead,Leading,Network,Lead,Network,Lead,Network,Leading,Lead,Network,Network,Lead,Network,Lead,lead,Lead,Network,Network,Lead,Network,Network,Network,Lead,Networking,Lead,Lead,Network,Lead,Networking,Lead,Lead,Network,Network,Lead,Network,Networking,Lead,Lead,Lead,Lead,Network,Network,Lead",,,
 Devops Engineer - Tools & Automation," python, open source, database, Automation, java, linux, perl, Monitoring, nosql",Programming & Design,"IT-Software, Software Services",Software Developer
 Great Opportunity To join top MNCs in Kolkata! Grab them While it last," PR, international bpo, chat process, Aviation, back office, web chat, Guest Relations, Public Speaking, bcom, fresher, inbound process, outbound, uk process, icse, communication skills, cbse",Voice,"BPO, Call Centre, ITeS",Associate/Senior Associate -(NonTechnical)
 QA Functional Testing," QA, Functional testing",Programming & Design,"IT-Software, Software Services",Testing Engineer
 Sales Engineer, Sales Engineering,Retail Sales,"Automobile, Auto Anciliary, Auto Components",Sales/Business Development Manager
Software Engineer - Unity Developer,"Design Development,Software Engineering,Lighting,Computer Science,Product Quality,Automation Testing,Asset Management,GUI,Object Oriented Programming,Android",Programming & Design,Telecom / ISP,Software Developer
 Associate Level 1 - Fund Accounting," NAV calculation, Fund accounting, Automation, Corporate actions, Accounting, Process improvement, Analytical, Reconciliation, Standard operating procedures, Subject Matter Expert",Accounts,"Banking, Financial Services, Broking",Accounts Executive/Accountant
 Associate Principal Analyst - Network Security Research," Networking, Secondary research, Recruitment, Analyst, Network security, Research, IPS, Advisory, Firewall",System Design/Implementation/ERP/CRM,"IT-Software, Software Services",Business Analyst
 Training Specialist," Team Management, Training Need Analysis, sales training, Retail Sales, MS Office, Product Training, Training, Team Building, Skill Development, Retail Marketing, trainer, Regional Management, Competency Mapping, Training Delivery",,"Telcom, ISP",Other
 Urgent Opening For Field Recruiter ," hiring, HRIS, procurement, HR, sourcing, Recruitment, staffing",HR/ Recruitment / IR,"Recruitment, Staffing",Recruitment Executive
 JAVA Developer," Computer science, Continuous improvement",Programming & Design,"Internet, Ecommerce",Software Developer
 Urgent Openings For Pharma Freshers," pharmaceutical, medical, Pharma, medical billing, healthcare",Medical Professional,"Pharma, Biotech, Clinical Research",Medical Representative
 Front End Developer - Wordpress/html/css/javascript," CSS, Wordpress, MySQL, Javascript, PHP, HTML, JQuery, SEO, Ajax, Hosting",Programming & Design,"IT-Software, Software Services",Software Developer
Mechanical Maintenance – Btech / Diploma,"mechanical operation,preventive maintenance,mechanical,engineeringbreak down maintenance,mechanical maintenance","Suguna Group was founded in the year 1984 with the inception of Suguna Foods in poultry sector by first generation entrepreneurs. Suguna is a USD 1.3 billion (INR 9,000 cr) group and leader in Indian protein food/animal farming industry. With an employee footprint of more than 8500, the group is in to poultry, dairy, processed protein food, animal nutrition, healthcare & biologicals. Group companies are Suguna Foods, Suguna Dairy, Globion, Aminovit Srilanka, Suguna Bangladesh and Kenya. Suguna Foods is the largest poultry enterprise in India and it ranks among the top 10 worldwide. The fully integrated operations cover broiler and layer farming, hatcheries, feed mills, processing plants, vaccines and exports. Suguna markets live broiler chicken, value added eggs, ready-to-eat and ready-to-cook chicken products. With the intent to provide consumers with fresh, clean and hygienic packed chicken, Suguna has set up a chain of modern retail outlets in the name of Ã¢â‚¬ËœDaily FresshÃ¢â‚¬â„¢. Suguna Foods pioneered contract farming in poultry industry, and now has presence in 21 states in India. Suguna as a brand is known for its quality products which has been well accepted by the consumers. Suguna Group always believes in energising rural India and providing nutritional security to India and is proud to associate with the mission of improving livelihood of 38,000 farmers",FMCG / Foods / Beverage,"Suguna Group was founded in the year 1984 with the inception of Suguna Foods in poultry sector by first generation entrepreneurs. Suguna is a USD 1.3 billion (INR 9,000 cr) group and leader in Indian protein food/animal farming industry. With an employee footprint of more than 8500, the group is in to poultry, dairy, processed protein food, animal nutrition, healthcare & biologicals. Group companies are Suguna Foods, Suguna Dairy, Globion, Aminovit Srilanka, Suguna Bangladesh and Kenya. Suguna Foods is the largest poultry enterprise in India and it ranks among the top 10 worldwide. The fully integrated operations cover broiler and layer farming, hatcheries, feed mills, processing plants, vaccines and exports. Suguna markets live broiler chicken, value added eggs, ready-to-eat and ready-to-cook chicken products. With the intent to provide consumers with fresh, clean and hygienic packed chicken, Suguna has set up a chain of modern retail outlets in the name of Ã¢â‚¬ËœDaily FresshÃ¢â‚¬â„¢. Suguna Foods pioneered contract farming in poultry industry, and now has presence in 21 states in India. Suguna as a brand is known for its quality products which has been well accepted by the consumers. Suguna Group always believes in energising rural India and providing nutritional security to India and is proud to associate with the mission of improving livelihood of 38,000 farmers"
 PHP Developer," javascript, html, ajax, jquery, php mysql, smarty, api, analytical, third party, software development life cycle",Programming & Design,"IT-Software, Software Services",Software Developer
Sr.consultant-power Distribution,"Renewable energy,Power distribution,Power sector,Banking,Electricals",Voice,Accounting / Finance,Associate/Senior Associate -(NonTechnical)
" Chinese, Spanish Language Expert (proofcheck Medical Content),"," spanish language expert, chinese, spanish, medical",Journalist/Writer,"Medical, Healthcare, Hospitals",Proof Reader
 Hiring for Tech Sales_Inbound UK/ US Voice Process," Sales Associate, support, Voice process, Issue, Senior, Technical, Inbound calls, Bonus, US shift, Software",Voice,"IT-Software, Software Services",Associate/Senior Associate -(NonTechnical)
 SUPPORT Engineers (FEMALE CANDIDATES)," MCSE, Database, Support Engineer",Back Office/Web/Transaction Processing,"IT-Software, Software Services",Associate/Senior Associate -(Technical)
 MS SQL Developer : 0 - 2 Years (only MALE Candidates)," SSRS, SQL Server, Stored Procedures, SQL Development, MS SQL",Programming & Design,"IT-Software, Software Services",Software Developer
 Machine Learning Engineer || Gurgaon/chandigarh Location," GIT, Linux, Machine Learning, Python",Programming & Design,"IT-Software, Software Services",Software Developer
 Nurses," GNM, Business Executive",Medical Professional,"Internet, Ecommerce",Nurse
 Marketing Executive," institutions, relationships, marketing executive, customer, customers, implementation, company, site, product",Marketing,"IT-Software, Software Services",Direct Marketing Executive
HR Recruiter (volume Hiring),"Recruitment,Volume Hiring,HR,BPO Hiring,Sourcing,Interviewing,Onboarding,Staffing,Orientation,Human Resource Management",HR/ Recruitment / IR,BPO / Call Centre / ITES,HR Executive
 Java Full Stack Developer," Java, CSS, Rest, Spring Mvc, Javascript, HTML, JPA, Spring Boot, JQuery, Web Services",Programming & Design,"IT-Software, Software Services",Software Developer
 GM Finance- Export Import Company," financial analysis, financial planning, taxation, VP Finance",Senior Management,"Export, Import",Head/VP/GM-Finance/Audit
 Content Writer," Publishing, SEO, Content management, Social media, Wordpress, Management systems, Research, Brand awareness, Web technologies, Journalism",Content Development,"Advertising, PR, MR, Event Management",Content Developer
 Job Opening for Sm/avp_credit Audit_mumbai," Auditing, Audit Planning, Risk Assessment, Banking, Credit Risk, Credit Policy",Senior Management,"Banking, Financial Services, Broking",Head/VP/GM-CFO/Financial Controller
 iOS Game Developer," c++, development, gaming, C, software, HTML, ios, opengl, iphone, design, MySQL, JavaScript",Programming & Design,"IT-Software, Software Services",Software Developer
 Hiring: Executive-business Developer(seller Acquisition) On Contract," business development, e - commerce, sales executive, sales associate, sales officer, sales, field sales, mba fresher, fresher, new product development, channel sales",Retail Sales,"Internet, Ecommerce",Sales Executive/Officer
 Java/j2ee Application Developer," rest, java, sql, oop, angularjs, ui development, oracle",Programming & Design,"Banking, Financial Services, Broking",Software Developer
" Accepting Application for Intership for Java, PHP, Web Design, Android"," Javascript, PHP, HTML, Visualization, jQuery, web, Programming, Commerce, Web designing, Application, Android",Programming & Design,"IT-Software, Software Services",Software Developer
 Automation-Expert-Senior-Automation-Expert," Process automation, Commodity Markets, Artificial Intelligence, Market intelligence, Machine learning, Corporate, Relationship, Operations, Analytics, Robotics",Programming & Design,"IT-Software, Software Services",Team Lead/Technical Lead
 Product Manager- Marketing(consumer Durables)," IT Sales, Marketing Campaigns, Social Media, Btl, Marketing Management, Digital Marketing, Dealer Sales, Channel Partners, Communication Skills, Process Flow",Institutional Sales,"Banking, Financial Services, Broking",Sales/Business Development Manager
 Embedded Android Engineer," Android, Troubleshooting, Middleware, Firmware, SOC, Linux kernel, Bluetooth, Computer science, Test scripts, Test strategy",Programming & Design,"Semiconductors, Electronics",Software Developer
 Inbound International BPO Voice Process-US Shift," Outbound, Antivirus, Technical support, Voice process, Technical Support Executive, US shift, Inbound voice process, Customer Service Executive, Comp, International BPO",Voice,"IT-Software, Software Services",Associate/Senior Associate -(NonTechnical)
